"Released","Genre","Casts","Duration","Country","Production","Title"
"2025-08-21","Documentary","Jussie Smollett,","90 min","United Kingdom","RAW","The Truth About Jussie Smollett?"
"2025-08-22","Drama","Mert Ramazan Demir, Ercan Kesal, Edip Tepeli, Burcu Cavrar, Rahimcan Kapkap","92 min","Turkey","OGM Pictures","Abandoned Man"
"2025-07-23","Romance, Comedy, Drama","Chemban Vinod Jose, Deepa Shankar, Saravanan, Kaali Venkat, R. K. Suresh","140 min","India","Sathya Jyothi Films","Thalaivan Thalaivii"
"2025-07-11","Drama, Mystery, Thriller","Deepak Parambol, Shine Tom Chacko, Divya M. Nair, Anagha Annet, Meenakshi Warrier","108 min","India","N/A","Soothravakyam"
"2025-07-25","Thriller, Drama, Action","Kovai Sarala, Livingston, Vivek Prasanna, Renuka, Fahadh Faasil","152 min","India","Super Good Films, E4 Experiments","Maareesan"
"2025-07-11","Action, Thriller, Crime, Drama","Swanand Kirkire, Prosenjit Chatterjee, Prashant Rana, Huma Qureshi, Saurabh Shukla","150 min","India","Tips Industries, Northern Lights Films, Northern Lights Films","Maalik"
"2025-06-20","Horror","Jitin Gulati, Indraneil Sengupta, Gopal Singh, Aashit Chatterjee, Yaaneea Bhardwaj","133 min","India","Jio Studios, Ajay Devgn FFilms","Maa"
"2025-08-21","Thriller, Action, Comedy","Joe Bucaro III, Randall Park, Chelsey Crisp, Kyanna Simone Simpson, Chris Bauer","94 min","United States of America","20th Century Studios, Reese Wernick Productions","Eenie Meanie"
"2025-08-14","Crime, Thriller, Drama","Denzel Washington, Dean Winters, Michael Potts, Rosie Perez, Jeffrey Wright","133 min","United States of America, Japan","A24, 40 Acres and a Mule Filmworks, Escape Artists, Mandalay Pictures, A/Vantage Pictures, Kurosawa Production, 40 Acres & A Mule Filmworks, Kurosawa Production Co.","Highest 2 Lowest"
"2025-06-21","Documentary","Albert Mwangi, Sarah Roberts, Kieran Darcy-Smith, Claire Warden, Tom Davis","78 min","Australia","Projector Films, Staple Fiction AU","Make it Look Real"
"2025-05-07","Documentary, Crime","Kate Fleetwood,","47 min","United States of America","Channel 4 Television","Madeleine McCann: The Unseen Evidence"
"2024-10-24","Documentary","Donna Lyon, Billie Kolbeck, Claire Gaskin,","98 min","Australia","Mind the Gap Film Finance, Sweetshop & Green, MIFF Premiere Fund, Mind the Gap Film Finance, MIFF Premiere Fund","Left Write Hook"
"2024-06-12","Drama","Sophie Guillemin, Liliane Rovère, Noémie Lvovsky, Izïa Higelin, Éric Caravaca","95 min","France","Karé Productions","Juliette in Spring"
"2025-01-29","Action, Fantasy, War","Naran, Luke Chen, Yosh Yu, Yafan Wu, Chen Kun","145 min","China","上海摩天之眼文化传媒有限公司, Beijing Culture, Century Changshengtian Film, Alibaba Pictures Group, Huaxia Film Distribution, 北京京西文化旅游股份有限公司, 东阳浦天影视文化有限公司, Huaxia Film Distribution Company, 北京京西文化旅游股份有限公司","Creation of the Gods II: Demon Force"
"2024-09-20","Thriller, Horror","Jack Ball, Dan Waller, Sierra Coachman, Mickey O'Sullivan, Caroline Hendricks","81 min","United States of America","VINCO Creative","Room Six"
"2025-08-21","Romance, Music, Drama","Vivoree Esclito, Victor Medina, Khalil Ramos, Sue Anna Ramirez, Gladys Reyes","112 min","Philippines","N/A","One Hit Wonder"
"2025-07-11","Comedy","George Young, Lucy Punch, Anna Camp, Justin Bartha, Maulik Pancholy","86 min","United States of America","Dandee Films, Hardball Entertainment, Rockhill Studios, Tandem Pictures","Nuked"
"2025-08-19","Action, Comedy, Western","Petchtai Wongkamlao, Myria Benedetti, Nachat Juntapun, Thiti Mahayotaruk, Ophaphoom Chitapan","119 min","Thailand","Bang Fai Film","Gold Rush Gang"
"2025-08-20","Romance, Thriller","Victor Meutelet, Svenja Jung, Thomas Kretschmann, Theo Trebs, Antje Traue","103 min","Germany","Wiedemann & Berg Television","Fall for Me"
"2024-02-29","Action, Comedy, Animation, Family","Deborah Mailman, Ben Stewart, Adam Lochowicz, David Wenham, Elizabeth Cullen","81 min","Australia","Like A Photon Creative, Universal Pictures (Australasia), Cosmic Dino Studio, Alceon Entertainment Partners, Eclectik Vision","Combat Wombat: Back 2 Back"
"2025-05-07","Documentary, Crime","N/A","90 min","United Kingdom, United States of America","ITN Productions","Dead Man Walking: Dan Walker on Death Row"
"2023-01-23","Documentary","Simon Boyle, Wayne Rooney, Coleen Rooney, Colin Patterson, Piers Morgan","43 min","N/A","Curious Films, Curious Film","Wagspiracy: Vardy v Rooney"
"2023-11-05","TV Movie, Comedy, Drama, Romance","Sergio Di Zio, Paul Dick, Robert Ifedi, Nykeem Provo, Suzanne Cyr","90 min","Canada","Brain Power Studio","We're Scrooged"
"2024-03-14","Family","Shek Sau, Stephanie Che, Eric Tsang, Alex Fong Lik-Sun, Catherine Chau","102 min","Hong Kong","Emperor Motion Pictures, Emperor Motion Pictures","We Are Family"
"2023-12-31","Drama","Ayan Elmi, Valérie Carrier, Grace E. McDonald-McIntosh, Courtenay Field, Makenna Pickersgill","62 min","Canada","CRY Creative Productions","Wallflower"
"2025-07-18","Comedy","Vir Das,","64 min","India","N/A","Vir Das: Fool Volume"
"2024-04-19","Documentary","Deon Bush, Brian Mansfield, Ashley Pearson,","54 min","N/A","Entertain Me Productions, Entertain Me Productions LTD","The Real! Taylor Swift and Travis Kelce - Love Story or Anti-Hero?"
"2024-08-03","Romance","N/A","90 min","N/A","N/A","The Perfect Him"
"2023-04-24","Comedy","N/A","45 min","N/A","N/A","The Lionesses: A League of Their Own Special"
"2024-02-14","Documentary","N/A","80 min","N/A","2050 Pictures, DreamPost Productions","The Last Bumblebee"
"2024-11-18","Documentary","Shyne,","62 min","United States of America","Andscape","The Honorable Shyne"
"2023-05-01","Horror, Science Fiction, Comedy, Fantasy, Crime","Fernando Ramallo, Mireia Oriol, Yris, Desirée Balbás, Roman Rymar","101 min","Spain","Carol Studio (ES)","Keratyna"
"2023-06-06","Drama, Romance, Science Fiction","Archie Madekwe, Emma D'Arcy,","16 min","United Kingdom","SOS Films, Mission Winnow","For People in Trouble"
"2023-11-17","Drama","Rebeca Sala, Isabel Ampudia, Aura Garrido, Rafa Jiménez, Iria del Río","90 min","Spain","Canal Sur, Canal Sur Televisión","Amanece"
"2023-10-26","Mystery, Thriller, Drama","Hanns Zischler, Philippe Graber, David Bennent, Jan Bülow, Christian Kacic","118 min","Germany, Austria, Switzerland","ZDF/Arte, MA.JA.DE. Fiction, The Barricades, Panama Film, Catpics, ORF, SRF, Neue Visionen, UFO Production, Österreichischer Rundfunk (ORF)","The Universal Theory"
"2024-01-24","Thriller, Crime","Guillaume Canet, Michaël Erpelding, Yvan Attal, Maxime Chaelis, Marie-Josée Croze","84 min","France","Curiosa Films","Breaking Point"
"2024-01-10","History, Romance","Anouk Grinberg, Stacy Martin, Peter van den Begin, Yveline Hamon, Hélène Alexandridis","122 min","Belgium, France","Les Films du Kiosque, France 3 Cinéma, Umedia","Bonnard, Pierre and Marthe"
"2023-08-30","Drama, Romance","Guido Quaglione, Silvia Bruni, Francesca Osso, Umberto Pavoncello, Catherine Bertoni de Laet","17 min","N/A","N/A","Lost Love"
"2023-02-24","Drama, Romance","Aksara Dena, Lutesha, Hendry Arie, Zihan Aljuffrey, Brilliana Desy Dwinawati","66 min","Indonesia","Relate Films, Bioskop Online","Guide to Prepare for Separation"
"2023-12-25","Horror, Mystery, Thriller","Elisse Joson, Vangie Labalan, Raffy Tejada, Cassandra Lavarias, Geraldine Villamil","130 min","Philippines","Mentorque Productions, Clever Minds Inc., Warner Bros. Pictures, Warner Bros. Pictures","Mallari"
"2023-10-05","Comedy","Francisco Lumerman, Laila Maltz, Lali Espósito, Lisandro Penelas, Alejandra Flechner","107 min","Argentina, Brazil, France, Germany, Italy","PUCARA CINE, PASTO, Infinity Hill, Pandora Filmproduktion, Atelier de Production, Kino Produzioni, INCAA, Bubbles Project, Instituto Nacional de Cine y Artes Audiovisuales","Puan"
"2025-04-30","Action, Mystery, Drama","Lee Yong-nyeo, Park Ji-ah, Lee Hye-young, Kim Kang-woo, Kim Mu-yeol","123 min","South Korea","Soo Film","The Old Woman with the Knife"
"2025-03-31","Drama, Romance","Rukman Rosadi, Tissa Biani Azzahra, Naura Hakim, Adila Fitri, Tomy Babap","134 min","Indonesia","Dee Company","Norma: Antara Mertua dan Menantu"
"2024-04-21","Documentary","Jenny Jenner, Russell Jenner,","88 min","Australia","Glass Engine","Growing Happiness"
"2024-04-15","Documentary","Nikolaus Ithell Payne, Maria Gros Vatne, Falk Vatne Payne, Freja Vatne Payne, Ronja Maria Breda-Vatne","84 min","Norway","A5film","A New Kind of Wilderness"
"2025-01-24","Comedy, Drama, Fantasy","Jung Joon-ho, Shin Hyun-joon, Kim Soo-mi, Chae Si-yeon,","107 min","South Korea","JNC Media Group, JOY N CINEMA","Thunderstruck Cop"
"2025-08-21","Comedy, Crime","Lena Hall, Kinna McInroe, Michael Gmur, Steve Lantz, Margaret Qualley","89 min","United Kingdom, United States of America","Focus Features, Working Title Films","Honey Don't!"
"2025-07-11","Action, Thriller","Peter Weller, Steve Bastoni, Tofan Pirani, Anthony Bear Williams, Carlo Natale","88 min","Thailand","+Sixty Six, Kaos Entertainment","Bang"
"2023-12-27","Drama, History","Manda Touré, Damien Bonnard, Myriem Akeddiou, Noham Edje, Vincent Pérez","101 min","France","Gaumont, France 2 Cinéma","The Edge of the Blade"
"2023-10-06","Drama","Belén Fabra, Pablo Molinero, Leonor Watling, Carolina Yuste, Qingfei Zhu","119 min","Spain","LAZONA, Tvtec Servicios Audiovisuales, TVE, Orange, Movistar Plus+, EiTB, Televisión Española, Movistar+, Euskal Irrati Telebisa (EITB), Lazonafilms, Orange S.A.","Chinas"
"2024-04-17","Drama","Johan Heldenbergh, Lubna Azabal, Babetida Sadjo, Catherine Salée, Malek Akhmiss","112 min","Belgium, France","SCOPE Pictures, Serendipity Films","Amal"
"2025-08-20","Drama","Mariko Tsutsui, Peter Yu, Masatoshi Nagase, Mihaya Shirata,","107 min","Indonesia, Japan, Philippines, Singapore, Slovenia","Purin Pictures, Singapore Film Commission, Slovenian Film Center, Studio Virc, Talents Tokyo, PŌTOCOL, Fourier Films, Singapore Film Comission","Last Shadow at First Light"
"2024-01-31","Comedy, Crime","Kaori Ito, Philippe Martz, Bruno Romy, Dominique Abel, Bruce Ellison","98 min","Belgium, France","Moteur s'il vous plaît, Courage Mon Amour, BeTV, Proximus, RTBF, Shelter Prod, VOO & Be tv, Radio Télévision Belge Francophone, Voo-Be TV","The Falling Star"
"2024-12-25","Horror, Drama","Jérôme Paquatte, Hugo Dillon, Arben Bajraktaraj, Ophélia Kolb, Manon Maindivide","95 min","France","Transgressive Production","Pandemonium"
"2024-01-25","Horror, Thriller","Justus von Dohnányi, Olga von Luckwald, David Kross, Nilam Farooq, Anton Schneider","84 min","Germany","Constantin Film, Viafilm","Home Sweet Home - Where Evil Lives"
"2024-07-05","Drama, Romance","Grant Davis, Nisha Nayar, Ben Hardy, Harrie Dobby, Sagar Radia","120 min","Sweden, United Kingdom, United States of America","Cambridge Picture Company, Chromatic Aberration Productions, Film i Väst, Filmgate Films, Maven Screen Media, Notorious Prods, River Road Entertainment, Maven Pictures","Unicorns"
"2023-09-28","Horror, Thriller, Drama, Mystery","Teuku Rifnu Wikana, Taskya Namya, Andi Bersama, Elly D. Luthan, Raya Adena Syah","97 min","Indonesia","MVP Pictures","The Verge of Death"
"2023-01-19","Action","Lu Shun, Yan Jiaying, Fangzhou Xu, Lam Wai, Zhang Junran","102 min","China","N/A","The Mob"
"2023-12-14","Action, Thriller","Michael Desante, Dermot Mulroney, Rafael Cabrera, Ron Weisberg, Michelle Wang","93 min","United States of America","Premiere Entertainment Group","Ruthless"
"2024-03-19","Thriller, Science Fiction, Horror","Natalya V. Wood, Victor Jones, Karen Cherney, Sean Collins, Kenny Logsdon","102 min","United States of America","Nowhere Society Media","Room 0"
"2023-08-22","Documentary","Aleksandar Petakov, Robroy Menzies, Jessie Desmond, Eli Watson, Seth Breedlove","77 min","United States of America","Small Town Monsters","On the Trail of Bigfoot: Land of the Missing"
"2023-05-03","Comedy, Drama","Carmen Santos, Sarah Perles, Arnaud Maillard, Vincent Chalambert, Manesca De Ternay","97 min","France","Moana Films, Sony Pictures Entertainment France, Sony Pictures International Productions, France 3 Cinéma, Coupains Production, Sony Pictures International","The Marginalized"
"2023-03-05","Thriller, Action","Jonathan Kowalsky, Will Hirschfeld, Paul Johansson, Nick Cassavetes, Miraj Grbić","98 min","United States of America","Highland Film Group, Highland Film Group (HFG)","Impulse"
"2024-09-01","Horror, Science Fiction","Ethan Rodgers, Cam Schwarz, Jennifer Drummond, Mayumi Amano,","86 min","United States of America","Ruthless Studios, Ruthless Studios","Night of the Werewolves"
"2025-03-28","Comedy","Pirjo Lonka , Jakob Öhrman, Rami Rusinen, Elmer Bäck, Ville Tiihonen","88 min","Finland, Italy, Denmark","It's Alive Films, i Wonder Pictures, Smile Entertainment, It's Alive Films","100 Liters of Gold"
"2025-08-17","Mystery, Adventure, TV Movie","Elizabeth Henstridge, Suanne Braun, Ben McKeown, Barney White, Nisha Aaliya","83 min","United States of America, Canada, Panama","The Cartel, Cartel Pictures","Mystery Island: Play for Keeps"
"2025-07-23","Drama, Thriller, TV Movie","Kelcey Mawema, Heather Doerksen, Kyla Pratt, Kyle Clark,","90 min","United States of America","Studio TF1 America, PF Maple Productions","Girl in the Cellar"
"2025-08-25","Comedy","Kam Patterson, Tony Hinchcliffe, Brian Redban, Ari Matti, Jeff Ross","137 min","United States of America","N/A","Kill Tony: Mayhem at Madison Square Garden"
"2025-01-31","Drama","Noah Lamanna, Emily Lê, Chris Sandiford, Stephen Kalyn, Drew Catherine","85 min","Canada","Wildling Pictures, Hawkeye Pictures, Hawkeye Pictures Inc.","Paying for It"
"2025-08-24","Animation, Comedy, Fantasy, Adventure, Family","Paige O'Hara, Debra Wilson, Auli'i Cravalho, Mandy Moore, Anika Noni Rose","24 min","United States of America, Denmark","LEGO, Atomic Cartoons","Lego Disney Princess: Villains Unite"
"2025-08-22","Thriller","Rhys Coiro, Billy Campbell, Katey Sagal, Sophie Turner, Gianni Paolo","86 min","United States of America","Twisted Pictures, Koulest Productions","Trust"
"2025-08-21","Thriller, Drama","Willa Fitzgerald, Matthew Maher, Jared Abrahamson, Victor Garber, Sam Worthington","112 min","United States of America, United Kingdom","Thunder Road, Sigma Films, Black Bear Pictures, Thunder Road Pictures","Relay"
"2025-02-28","Drama, Romance","Michelle Jenner, Mario Casas, Zoe Bonafonte, Blas Caballero, Elsa Chaves","99 min","Spain","Nostromo Pictures","The Goldsmith's Secret"
"2024-09-13","Horror","Tiffany Shepis, Ben Baur, Ty Chen, Phylicia Wissa, William Lott","75 min","United States of America","June Gloom Productions","There's a Zombie Outside"
"2024-01-24","Comedy, Crime","Kwon Eun-seong, Jung Yun-ha, Yum Hye-ran, Jang Yoon-ju, Shim Wan-jun","113 min","South Korea","CJeS Studios, Page One Film, C-JeS Entertainment","Citizen of a Kind"
"2024-03-11","History, War","Danny A. Abeckaser, Dean Miroshnikov, Omer Hazan, Kyle Stefanski, Robert Davi","85 min","United States of America","N/A","Bardejov"
"2023-09-09","Documentary","N/A","87 min","Canada, India","N/A","I Am Sirat"
"2023-08-11","Thriller, Crime","Sébastien Beaulac, Stanley Hilaire, Vitali Makarov, Pierre Chagnon, Maxim Martin","118 min","Canada","Némésis Films","Red Rooms"
"2023-10-05","Documentary","Idris Elba,","68 min","United Kingdom","Pioneer Productions, World Gold Council","Gold: A Journey With Idris Elba"
"2023-10-06","Drama, Documentary","Alexia Olivo, Justina Olivo,","78 min","Argentina, France","Gema Films, Sister Productions","The Castle"
"2023-12-15","Drama","Vincent De Paul, Eddie Soto, Romeo Miller, Tyler Hopkins, Felicia Pearson","80 min","United States of America","Miasha Productions","Secret Society 3: 'Til Death"
"2024-02-09","Comedy, Romance, Science Fiction","Okieriete Onaodowan, Matteo Lane, Erin Darke, David Hull, Zosia Mamet","93 min","United States of America","Choreografx, DVRG, Senior Post, Whiskey Bear, the Family","Molli and Max in the Future"
"2024-02-23","Documentary","The Edge, Vesna Andree Zaimović, Bono, Srđan 'Đino' Jevđević, Boris Šiber","103 min","United States of America","Fifth Season, Artists Equity, In Cahoots Productions, In Cahoots Productions","Kiss the Future"
"2024-04-14","Drama, Thriller","Yağmur Ün, Cemal Hünal, Ebrar Alya Demirbilek, Bahar Şahin, Alper Türedi","122 min","Turkey","Altayaz Film","Marriage"
"2024-10-11","Horror","Rabia Akgün, Mehmet Tekkanat, Faik Umut Özalp,","85 min","Turkey","MRT Film","Kabir Azabı: İnsi ve Cinni"
"2025-03-28","Animation, Adventure","Yapak Selin Onat, Ayşin Tabiloğlu, Sinan Pekinton, Eray Eserol, Levent Şenbay","89 min","Turkey","9D Medya","Smart Rabbit Momo: The Big Chase"
"2025-09-12","Drama","Kwai Lun-Mei, Hidetoshi Nishijima, Christopher Mann, Fiona Fu, Julian Wang","138 min","Japan, Taiwan, United States of America","Rollin Studios, Toei Company, Toei Company, Ltd.","Dear Stranger"
"2023-10-01","Comedy, Romance","Michelle Wai, Sham Ka-Ki, Polly Lau, Michael Ning, Law Kar-Ying","125 min","Hong Kong","Emperor Motion Pictures, Emperor Motion Pictures","Ready O/R Rot"
"2023-10-26","Romance, Drama","Anka Khurtsidze, Temiko Chichinadze, Tengo Javakhadze, Lia Abuladze, Joni Janashia","112 min","Georgia, Switzerland, Germany","Alva Film, Heimatfilm, Takes Film","Blackbird Blackbird Blackberry"
"2024-02-23","Drama, Comedy","Kiriana Stanton, Al Maini, Dani Jazzar, Ben Sanders, Ryan Ali","90 min","Canada","Fae Pictures, Hawkeye Pictures, Ontario Creates, Téléfilm Canada, pUNK FILMS, Hawkeye Pictures Inc.","Queen Tut"
"2023-09-10","Drama","Elora Españo, Antonia Cacho, Ivan Andrew Payawal, Cean Famador, Sue Prado","100 min","Philippines","The IdeaFirst Company, Octobertrain Films, Quantum Films, Cineko Productions","Your Mother's Son"
"2023-12-25","Drama, Romance, Science Fiction","Dingdong Dantes, Ina Feleo, Pepe Herrera, Shanaia Gomez, Ariel Ureta","112 min","Philippines","Star Cinema – ABS-CBN Film Productions, APT Entertainment, AgostoDos Pictures","Rewind"
"2023-10-01","Horror","Grant Pfost, Tim Michael Schmidt, Sarah J. Butler, Baxter Dowell, Sky Crystal","71 min","United States of America","Silver Line Films","Blood Lust"
